iter	Passed	Remaining
398	129470	357261
399	129797	356943
400	130111	356589
401	130414	356206
402	130710	355803
403	130988	355355
404	131380	355213
405	131712	354911
406	132005	354500
407	132312	354130
408	132677	353915
409	132993	353567
410	133324	353260
411	133631	352891
412	133971	352606
413	134238	352132
414	134509	351668
415	134791	351235
416	135152	351007
417	135493	350727
418	135734	350189
419	136122	350028
420	136417	349631
421	136721	349256
422	137056	348960
423	137432	348766
424	137807	348572
425	138172	348351
426	138475	347971
427	138838	347745
428	139101	347268
429	139385	346842
430	139652	346377
431	139912	345894
432	140227	345548
433	140517	345142
434	140799	344716
435	141101	344338
436	141386	343922
437	141618	343377
438	141972	343125
439	142269	342739
440	142545	342303
441	142838	341906
442	143093	341421
443	143397	341053
444	143682	340639
445	143942	340168
446	144181	339649
447	144541	339413
448	144824	338999
449	145101	338570
450	145403	338199
451	145715	337854
452	146100	337676
453	146352	337191
454	146600	336697
455	146864	336242
456	147240	336043
457	147528	335644
458	147832	335279
459	148113	334865
460	148473	334628
461	148756	334218
462	149102	333951
463	149368	333504
464	149657	333107
465	149986	332803
466	150293	332447
467	150573	332033
468	150921	331769
469	151268	331502
470	151511	331010
471	151738	330481
472	152029	330094
473	152341	329752
474	152713	329538
475	153006	329157
476	153309	328796
477	153665	328548
478	153939	328125
479	154206	327688
480	154497	327303
481	154811	326967
482	155144	326669
483	155430	326274
484	155682	325809
485	156035	325556
486	156256	325026
487	156518	324583
488	156987	324569
489	157229	324086
490	157539	323741
491	157896	323494
492	158243	323227
493	158536	322850
494	158834	322481
495	159144	322140
496	159408	321703
497	159661	321245
498	160008	320979
499	160299	320598
500	160596	320230
501	160891	319859
502	161208	319533
503	161519	319194
504	161825	318844
505	162112	318457
506	162331	317939
507	162678	317671
508	162957	317269
509	163265	316927
510	163525	316490
511	163813	316108
512	164179	315877
513	164454	315470
514	164774	315150
515	165090	314823
516	165378	314442
517	165620	313975
518	165985	313740
519	166233	313286
520	166549	312959
521	166906	312709
522	167219	312377
523	167547	312072
524	167835	311694
525	168077	311231
526	168414	310943
527	168783	310714
528	169193	310561
529	169585	310372
530	169855	309962
531	170206	309699
532	170503	309337
533	170803	308981
534	171137	308686
535	171416	308293
